old_house.LTH.energy_bought	new_house.LTH.energy_bought	office.LTH.energy_bought	incinerator.LTH.energy_sold	fast_gas_boiler.LTH.energy_sold	
114.55655571283836	62.578355634950555	270.6328533124954	116.60000000000001	331.1677646602843	
105.12248641883993	57.42484399442522	248.3454418632311	116.60000000000001	294.2927722764962	
102.42703804912608	55.95241209713227	241.97761002058417	233.20000000000002	167.1570601668425	
109.1656589734107	59.633491840364655	257.89718962720156	426.6963404409769	0	
125.33834919169375	68.46808322412237	296.1041806830832	489.9106130988993	0	
229.11311142567672	125.15671126990111	350.23075134558223	704.50057404116	0	
256.0675951228152	139.88103024283063	413.9090697720518	809.8576951376976	0	
287.0652513745244	156.8139970616996	487.1391359624917	931.0183843987156	0	
295.1515964836659	161.23129275357846	506.24263149043253	962.625520727677	0	
274.9357337108121	150.1880535238813	458.4838926705804	883.6076799052738	0	
245.2858016439598	133.99130265365883	388.43774240146394	767.7148466990825	0	
225.06993887110596	122.94806342396167	340.6790035816118	688.6970058766794	0	
211.59269702253673	115.5859039374969	308.83984436837704	636.0184453284107	0	
206.20180028310907	112.641040142911	296.1041806830832	614.9470211091033	0	
207.54952446796597	113.37725609155746	299.28809660440663	620.21487716393	0	
214.28814539225058	117.05833583478984	315.20767621102397	646.5541574380644	0	
258.763043492529	141.35346214012358	420.2769016146987	820.3934072473512	0	
311.324286701949	170.0658841373362	544.4496225463143	1025.8397933855995	0	
349.06056387794274	190.67993069943756	633.5992683433715	1166.0	7.339762920751809	
370.62415083565355	202.4593858777812	684.5419230845472	1166.0	91.62545979798188	
377.36277175993814	206.1404656210136	700.4615026911645	1166.0	117.96474007211623	
397.57863453279197	217.18370485071074	748.2202415110166	1166.0	196.9825808945193	
339.62649458394435	185.5264190589122	802.3468121735157	1166.0	161.49972581637212	
357.1469089870843	195.09722639131644	843.7377191507209	1166.0	229.98185452912162	
357.1469089870843	195.09722639131644	843.7377191507209	1166.0	229.98185452912162	
