simulation_time	physical_time	national_electricity_distribution_network.energy_sold_inside	national_electricity_distribution_network.energy_sold_outside	national_electricity_distribution_network.energy_bought_inside	national_electricity_distribution_network.energy_bought_outside	national_electricity_distribution_network.energy_erased_consumption	national_electricity_distribution_network.energy_erased_production	national_electricity_distribution_network.money_spent_inside	national_electricity_distribution_network.money_spent_outside	national_electricity_distribution_network.money_earned_inside	national_electricity_distribution_network.money_earned_outside	national_gas_distribution_network.energy_sold_inside	national_gas_distribution_network.energy_sold_outside	national_gas_distribution_network.energy_bought_inside	national_gas_distribution_network.energy_bought_outside	national_gas_distribution_network.energy_erased_consumption	national_gas_distribution_network.energy_erased_production	national_gas_distribution_network.money_spent_inside	national_gas_distribution_network.money_spent_outside	national_gas_distribution_network.money_earned_inside	national_gas_distribution_network.money_earned_outside	electric_microgrid.energy_sold_inside	electric_microgrid.energy_sold_outside	electric_microgrid.energy_bought_inside	electric_microgrid.energy_bought_outside	electric_microgrid.energy_erased_consumption	electric_microgrid.energy_erased_production	electric_microgrid.money_spent_inside	electric_microgrid.money_spent_outside	electric_microgrid.money_earned_inside	electric_microgrid.money_earned_outside	district_heating_network.energy_sold_inside	district_heating_network.energy_sold_outside	district_heating_network.energy_bought_inside	district_heating_network.energy_bought_outside	district_heating_network.energy_erased_consumption	district_heating_network.energy_erased_production	district_heating_network.money_spent_inside	district_heating_network.money_spent_outside	district_heating_network.money_earned_inside	district_heating_network.money_earned_outside	
17	2021-01-01 17:00:00	10703.7992645192	0	0	0	0.0	0	0	0	1418.7885925120202	0	0	0	0	0	0	0	0	0	0	0	10703.7992645192	0	0	10703.7992645192	0.0	0	0	1418.7885925120202	1926.683867613456	0	0	0	0	0	0	0	0	0	0	0	
18	2021-01-01 18:00:00	11791.0040759994	0	0	0	0.0	0	0	0	2321.6487025642823	0	0	0	0	0	0	0	0	0	0	0	11791.0040759994	0	0	11791.0040759994	0.0	0	0	2321.6487025642823	2122.3807336798923	0	0	0	0	0	0	0	0	0	0	0	
19	2021-01-01 19:00:00	14049.931873675501	0	0	0	0.0	0	0	0	3403.17449844168	0	0	0	0	0	0	0	0	0	0	0	14049.931873675501	0	0	14049.931873675501	0.0	0	0	3403.17449844168	2528.98773726159	0	0	0	0	0	0	0	0	0	0	0	
20	2021-01-01 20:00:00	15708.189826632399	0	0	0	0.0	0	0	0	3727.0822001650695	0	0	0	0	0	0	0	0	0	0	0	15708.189826632399	0	0	15708.189826632399	0.0	0	0	3727.0822001650695	2827.4741687938317	0	0	0	0	0	0	0	0	0	0	0	
21	2021-01-01 21:00:00	15474.9942870163	0	0	0	0.0	0	0	0	3498.1224585800346	0	0	0	0	0	0	0	0	0	0	0	15474.9942870163	0	0	15474.9942870163	0.0	0	0	3498.1224585800346	3094.99885740326	0	0	0	0	0	0	0	0	0	0	0	
22	2021-01-01 22:00:00	14248.478003847	0	0	0	0.0	0	0	0	3562.11950096175	0	0	0	0	0	0	0	0	0	0	0	14248.478003847	0	0	14248.478003847	0.0	0	0	3562.11950096175	2849.6956007694002	0	0	0	0	0	0	0	0	0	0	0	
23	2021-01-01 23:00:00	13971.0516725495	0	0	0	0.0	0	0	0	3145.861705107971	0	0	0	0	0	0	0	0	0	0	0	13971.0516725495	0	0	13971.0516725495	0.0	0	0	3145.861705107971	2794.2103345099003	0	0	0	0	0	0	0	0	0	0	0	
24	2021-01-02 00:00:00	11320.24157284823	0	0	0	0.0	0	0	0	2490.4531460266107	0	0	0	0	0	0	0	0	0	0	0	11320.24157284823	0	0	11320.24157284823	0.0	0	0	2490.4531460266107	2264.048314569646	0	0	0	0	0	0	0	0	0	0	0	
25	2021-01-02 01:00:00	10935.81681568917	0	0	0	0.0	0	0	0	2048.6065640830525	0	0	0	0	0	0	0	0	0	0	0	10935.81681568917	0	0	10935.81681568917	0.0	0	0	2048.6065640830525	2187.163363137834	0	0	0	0	0	0	0	0	0	0	0	
26	2021-01-02 02:00:00	10370.35006407095	0	0	0	0.0	0	0	0	1768.144685924097	0	0	0	0	0	0	0	0	0	0	0	10370.35006407095	0	0	10370.35006407095	0.0	0	0	1768.144685924097	2074.07001281419	0	0	0	0	0	0	0	0	0	0	0	
27	2021-01-02 03:00:00	9623.22535166078	0	0	0	0.0	0	0	0	1484.0938137331254	0	0	0	0	0	0	0	0	0	0	0	9623.22535166078	0	0	9623.22535166078	0.0	0	0	1484.0938137331254	1924.6450703321561	0	0	0	0	0	0	0	0	0	0	0	
28	2021-01-02 04:00:00	8923.09608772964	0	0	0	0.0	0	0	0	839.2171870509727	0	0	0	0	0	0	0	0	0	0	0	8923.09608772964	0	0	8923.09608772964	0.0	0	0	839.2171870509727	1784.6192175459282	0	0	0	0	0	0	0	0	0	0	0	
29	2021-01-02 05:00:00	8257.996938642711	0	0	0	0.0	0	0	0	621.3316896634777	0	0	0	0	0	0	0	0	0	0	0	8257.996938642711	0	0	8257.996938642711	0.0	0	0	621.3316896634777	1486.4394489556878	0	0	0	0	0	0	0	0	0	0	0	
30	2021-01-02 06:00:00	8929.1029910601	0	0	0	0.0	0	0	0	657.0926891121127	0	0	0	0	0	0	0	0	0	0	0	8929.1029910601	0	0	8929.1029910601	0.0	0	0	657.0926891121127	1607.238538390818	0	0	0	0	0	0	0	0	0	0	0	
31	2021-01-02 07:00:00	10316.21706754096	0	0	0	0.0	0	0	0	990.6663249959585	0	0	0	0	0	0	0	0	0	0	0	10316.21706754096	0	0	10316.21706754096	0.0	0	0	990.6663249959585	1856.9190721573727	0	0	0	0	0	0	0	0	0	0	0	
32	2021-01-02 08:00:00	10400.1583288747	0	0	0	0.0	0	0	0	1743.4825422525548	0	0	0	0	0	0	0	0	0	0	0	10400.1583288747	0	0	10400.1583288747	0.0	0	0	1743.4825422525548	1872.028499197446	0	0	0	0	0	0	0	0	0	0	0	
33	2021-01-02 09:00:00	8247.83308589233	0	0	0	0.0	0	0	0	1184.883701119292	0	0	0	0	0	0	0	0	0	0	0	8247.83308589233	0	0	8247.83308589233	0.0	0	0	1184.883701119292	1649.566617178466	0	0	0	0	0	0	0	0	0	0	0	
34	2021-01-02 10:00:00	7279.15277565011	0	0	0	0.0	0	0	0	1066.5414646882543	0	0	0	0	0	0	0	0	0	0	0	7279.15277565011	0	0	7279.15277565011	0.0	0	0	1066.5414646882543	1455.830555130022	0	0	0	0	0	0	0	0	0	0	0	
35	2021-01-02 11:00:00	6305.16872671431	0	0	0	0.0	0	0	0	874.5899540825419	0	0	0	0	0	0	0	0	0	0	0	6305.16872671431	0	0	6305.16872671431	0.0	0	0	874.5899540825419	1261.033745342862	0	0	0	0	0	0	0	0	0	0	0	
36	2021-01-02 12:00:00	5811.84384563638	0	0	0	0.0	0	0	0	921.2353679718227	0	0	0	0	0	0	0	0	0	0	0	5811.84384563638	0	0	5811.84384563638	0.0	0	0	921.2353679718227	1162.3687691272762	0	0	0	0	0	0	0	0	0	0	0	
37	2021-01-02 13:00:00	7397.837623332261	0	0	0	0.0	0	0	0	1183.210149475762	0	0	0	0	0	0	0	0	0	0	0	7397.837623332261	0	0	7397.837623332261	0.0	0	0	1183.210149475762	1479.567524666452	0	0	0	0	0	0	0	0	0	0	0	
38	2021-01-02 14:00:00	8360.81808314241	0	0	0	0.0	0	0	0	1116.5036468228375	0	0	0	0	0	0	0	0	0	0	0	8360.81808314241	0	0	8360.81808314241	0.0	0	0	1116.5036468228375	1672.1636166284823	0	0	0	0	0	0	0	0	0	0	0	
39	2021-01-02 15:00:00	9206.23577348851	0	0	0	0.0	0	0	0	1249.6544438933304	0	0	0	0	0	0	0	0	0	0	0	9206.23577348851	0	0	9206.23577348851	0.0	0	0	1249.6544438933304	1841.2471546977022	0	0	0	0	0	0	0	0	0	0	0	
40	2021-01-02 16:00:00	11306.97779297212	0	0	0	0.0	0	0	0	1450.2329717266043	0	0	0	0	0	0	0	0	0	0	0	11306.97779297212	0	0	11306.97779297212	0.0	0	0	1450.2329717266043	2261.395558594424	0	0	0	0	0	0	0	0	0	0	0	
41	2021-01-02 17:00:00	12203.799264515199	0	0	0	0.0	0	0	0	1617.6135925114897	0	0	0	0	0	0	0	0	0	0	0	12203.799264515199	0	0	12203.799264515199	0.0	0	0	1617.6135925114897	2196.6838676127354	0	0	0	0	0	0	0	0	0	0	0	
42	2021-01-02 18:00:00	13291.004076001602	0	0	0	0.0	0	0	0	2616.9987025647156	0	0	0	0	0	0	0	0	0	0	0	13291.004076001602	0	0	13291.004076001602	0.0	0	0	2616.9987025647156	2392.3807336802884	0	0	0	0	0	0	0	0	0	0	0	
43	2021-01-02 19:00:00	15549.931873674299	0	0	0	0.0	0	0	0	3766.504498441389	0	0	0	0	0	0	0	0	0	0	0	15549.931873674299	0	0	15549.931873674299	0.0	0	0	3766.504498441389	2798.9877372613737	0	0	0	0	0	0	0	0	0	0	0	
44	2021-01-02 20:00:00	17208.189826633	0	0	0	0.0	0	0	0	4082.987200165212	0	0	0	0	0	0	0	0	0	0	0	17208.189826633	0	0	17208.189826633	0.0	0	0	4082.987200165212	3097.4741687939395	0	0	0	0	0	0	0	0	0	0	0	
45	2021-01-02 21:00:00	16974.9942870159	0	0	0	0.0	0	0	0	3837.197458579944	0	0	0	0	0	0	0	0	0	0	0	16974.9942870159	0	0	16974.9942870159	0.0	0	0	3837.197458579944	3394.99885740318	0	0	0	0	0	0	0	0	0	0	0	
46	2021-01-02 22:00:00	15748.4780038472	0	0	0	0.0	0	0	0	3937.1195009618	0	0	0	0	0	0	0	0	0	0	0	15748.4780038472	0	0	15748.4780038472	0.0	0	0	3937.1195009618	3149.6956007694403	0	0	0	0	0	0	0	0	0	0	0	
47	2021-01-02 23:00:00	13971.0516725494	0	0	0	0.0	0	0	0	3145.8617051079486	0	0	0	0	0	0	0	0	0	0	0	13971.0516725494	0	0	13971.0516725494	0.0	0	0	3145.8617051079486	2794.2103345098803	0	0	0	0	0	0	0	0	0	0	0	
48	2021-01-03 00:00:00	11320.24157284829	0	0	0	0.0	0	0	0	2490.4531460266244	0	0	0	0	0	0	0	0	0	0	0	11320.24157284829	0	0	11320.24157284829	0.0	0	0	2490.4531460266244	2264.048314569658	0	0	0	0	0	0	0	0	0	0	0	
49	2021-01-03 01:00:00	10935.81681568913	0	0	0	0.0	0	0	0	2048.6065640830448	0	0	0	0	0	0	0	0	0	0	0	10935.81681568913	0	0	10935.81681568913	0.0	0	0	2048.6065640830448	2187.1633631378263	0	0	0	0	0	0	0	0	0	0	0	
50	2021-01-03 02:00:00	10370.35006407097	0	0	0	0.0	0	0	0	1768.1446859241005	0	0	0	0	0	0	0	0	0	0	0	10370.35006407097	0	0	10370.35006407097	0.0	0	0	1768.1446859241005	2074.0700128141943	0	0	0	0	0	0	0	0	0	0	0	
51	2021-01-03 03:00:00	9623.22535166077	0	0	0	0.0	0	0	0	1484.093813733124	0	0	0	0	0	0	0	0	0	0	0	9623.22535166077	0	0	9623.22535166077	0.0	0	0	1484.093813733124	1924.645070332154	0	0	0	0	0	0	0	0	0	0	0	
52	2021-01-03 04:00:00	8923.09608772964	0	0	0	0.0	0	0	0	839.2171870509727	0	0	0	0	0	0	0	0	0	0	0	8923.09608772964	0	0	8923.09608772964	0.0	0	0	839.2171870509727	1784.6192175459282	0	0	0	0	0	0	0	0	0	0	0	
53	2021-01-03 05:00:00	8257.996938642711	0	0	0	0.0	0	0	0	621.3316896634777	0	0	0	0	0	0	0	0	0	0	0	8257.996938642711	0	0	8257.996938642711	0.0	0	0	621.3316896634777	1486.4394489556878	0	0	0	0	0	0	0	0	0	0	0	
54	2021-01-03 06:00:00	8929.1029910601	0	0	0	0.0	0	0	0	657.0926891121127	0	0	0	0	0	0	0	0	0	0	0	8929.1029910601	0	0	8929.1029910601	0.0	0	0	657.0926891121127	1607.238538390818	0	0	0	0	0	0	0	0	0	0	0	
55	2021-01-03 07:00:00	10316.21706754096	0	0	0	0.0	0	0	0	990.6663249959585	0	0	0	0	0	0	0	0	0	0	0	10316.21706754096	0	0	10316.21706754096	0.0	0	0	990.6663249959585	1856.9190721573727	0	0	0	0	0	0	0	0	0	0	0	
56	2021-01-03 08:00:00	10400.1583288747	0	0	0	0.0	0	0	0	1743.4825422525548	0	0	0	0	0	0	0	0	0	0	0	10400.1583288747	0	0	10400.1583288747	0.0	0	0	1743.4825422525548	1872.028499197446	0	0	0	0	0	0	0	0	0	0	0	
