simulation_time	physical_time	mean_national_grid.curtailment_rate_consumption	min_national_grid.curtailment_rate_consumption	max_national_grid.curtailment_rate_consumption	sum_national_grid.curtailment_rate_consumption	mean_national_grid.curtailment_rate_production	min_national_grid.curtailment_rate_production	max_national_grid.curtailment_rate_production	sum_national_grid.curtailment_rate_production	mean_full_elec_renewable_district.curtailment_rate_consumption	min_full_elec_renewable_district.curtailment_rate_consumption	max_full_elec_renewable_district.curtailment_rate_consumption	sum_full_elec_renewable_district.curtailment_rate_consumption	mean_full_elec_renewable_district.curtailment_rate_production	min_full_elec_renewable_district.curtailment_rate_production	max_full_elec_renewable_district.curtailment_rate_production	sum_full_elec_renewable_district.curtailment_rate_production	mean_DHN_bound_renewable_district.curtailment_rate_consumption	min_DHN_bound_renewable_district.curtailment_rate_consumption	max_DHN_bound_renewable_district.curtailment_rate_consumption	sum_DHN_bound_renewable_district.curtailment_rate_consumption	mean_DHN_bound_renewable_district.curtailment_rate_production	min_DHN_bound_renewable_district.curtailment_rate_production	max_DHN_bound_renewable_district.curtailment_rate_production	sum_DHN_bound_renewable_district.curtailment_rate_production	mean_district_heating_network.curtailment_rate_consumption	min_district_heating_network.curtailment_rate_consumption	max_district_heating_network.curtailment_rate_consumption	sum_district_heating_network.curtailment_rate_consumption	mean_district_heating_network.curtailment_rate_production	min_district_heating_network.curtailment_rate_production	max_district_heating_network.curtailment_rate_production	sum_district_heating_network.curtailment_rate_production	mean_old_district.curtailment_rate_consumption	min_old_district.curtailment_rate_consumption	max_old_district.curtailment_rate_consumption	sum_old_district.curtailment_rate_consumption	mean_old_district.curtailment_rate_production	min_old_district.curtailment_rate_production	max_old_district.curtailment_rate_production	sum_old_district.curtailment_rate_production	
240	2019-03-11 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31193853540691396	2.289536847323664e-16	0.4828013619788972	7.486524849765937	0.0	0.0	0.0	0.0	0.5037875413232664	0.39023913422907636	0.6260804677089457	12.090900991758396	0	inf	-inf	0	0.617032986665191	1.2134799349731957e-16	0.9362178674919898	14.808791679964587	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5880752787085513	0.4769082494479404	0.6667047505752178	14.113806689005228	0.0	0.0	0.0	0.0	
264	2019-03-12 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31788993333390064	6.298318883912777e-16	0.5022811861830998	7.629358400013614	0.0	0.0	0.0	0.0	0.4358776469074212	0.305236941799533	0.6165869532820129	10.461063525778105	0	inf	-inf	0	0.61703298666519	1.2134799349731957e-16	0.9362178674919889	14.808791679964564	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5607001560560224	0.4622516215227532	0.6792036723017865	13.456803745344546	0.0	0.0	0.0	0.0	
288	2019-03-13 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31473768155566295	4.221284939865682e-16	0.48059821890223187	7.553704357335912	0.0	0.0	0.0	0.0	0.41092511919676944	0.28788241820894594	0.5299739892310343	9.862202860722467	0	inf	-inf	0	0.6170329866651898	1.2134799349731957e-16	0.9362178674919888	14.808791679964555	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5480527926425919	0.4532827414937464	0.6587649913509667	13.153267023422206	0.0	0.0	0.0	0.0	
312	2019-03-14 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31083095858158694	1.9240770119962928e-16	0.501646540607631	7.459943005958084	0.0	0.0	0.0	0.0	0.4585212237233133	0.2948208414856745	0.6172767693535609	11.004509369359521	0	inf	-inf	0	0.6170329866651906	1.2134799349731957e-16	0.93621786749199	14.808791679964575	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5736996823153448	0.46198009936521134	0.6752311489128727	13.768792375568273	0.0	0.0	0.0	0.0	
336	2019-03-15 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31749915189155264	3.450707765204646e-16	0.4828013619788972	7.6199796453972635	0.0	0.0	0.0	0.0	0.4758617918161257	0.41253397390900265	0.5448674691470237	11.420683003587014	0	inf	-inf	0	0.6170329866651908	1.2134799349731957e-16	0.9362178674919895	14.808791679964584	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5787058273022005	0.48660373656123834	0.6667311774862857	13.888939855252818	0.0	0.0	0.0	0.0	
360	2019-03-16 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3133147961677858	0.0	0.5031916772544532	7.519555108026859	0.0	0.0	0.0	0.0	0.47505656953000563	0.2964984171050858	0.624083717753727	11.401357668720138	0	inf	-inf	0	0.6170329866651906	1.2134799349731957e-16	0.93621786749199	14.808791679964575	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5787078860300408	0.46214866827825507	0.6810410630401561	13.888989264720971	0.0	0.0	0.0	0.0	
384	2019-03-17 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30890073416087854	1.9240161445793136e-16	0.4828013619788972	7.4136176198610855	0.0	0.0	0.0	0.0	0.45249374737915804	0.30801111818367016	0.5448674691470237	10.85984993709979	0	inf	-inf	0	0.6170329866651907	1.2134799349731957e-16	0.936217867491989	14.808791679964575	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5738874199431526	0.4636151969268032	0.6667311774862857	13.773298078635662	0.0	0.0	0.0	0.0	
408	2019-03-18 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3140891810430166	0.0	0.5031074287229398	7.538140345032399	0.0	0.0	0.0	0.0	0.5122254876214621	0.3693178804377349	0.6259011529269084	12.29341170291509	0	inf	-inf	0	0.6170329866651907	1.2134799349731957e-16	0.9362178674919901	14.808791679964582	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5891322864445643	0.47393311089289386	0.6811244041341309	14.139174874669548	0.0	0.0	0.0	0.0	
432	2019-03-19 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31572967684460673	4.1976795029550783e-16	0.4819992565246276	7.577512244270562	0.0	0.0	0.0	0.0	0.42750385737134317	0.314890396729859	0.5364057572425983	10.260092576912239	0	inf	-inf	0	0.6170329866651898	1.2134799349731957e-16	0.9362178674919889	14.80879167996456	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5596084128310055	0.4646745017350149	0.6647418874306977	13.430601907944125	0.0	0.0	0.0	0.0	
456	2019-03-20 00:00:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31690869324602505	4.222517033282552e-16	0.5008477573294914	7.605808637904599	0.0	0.0	0.0	0.0	0.419040566271552	0.27668538810972454	0.6087249326248876	10.056973590517252	0	inf	-inf	0	0.6170329866651898	1.2134799349731957e-16	0.9362178674919888	14.808791679964555	0.5240945892532417	0.0	0.9511522925638696	5.240945892532418	0.5491532629293321	0.4515835222893434	0.6733380767555707	13.179678310303972	0.0	0.0	0.0	0.0	
