heat_storage.energy_stored	heating.LTH.energy_bought	prices_elec.France.buying_price	PV.LVE.energy_sold	
119839.10972573677	0	0.5184	0	
119678.25711711634	0.008628441718465463	0.43424999999999997	0	
119517.45942018482	0	0.41031	0	
119356.7079906992	0	0.40428	0	
119196.00281534878	0	0.4720500000000001	0	
119035.34388082263	0	0.5975999999999999	0.124177310124375	
118874.73117381682	0	0.6741	1.1529372695343751	
118714.16468102926	0	0.702	2.29212655375	
118553.64438916159	0	0.67689	3.23144236636	
118393.17028492245	0	0.6161399999999999	3.9367524144374992	
118232.74235502047	0	0.6363000000000001	4.23482281599	
118072.36058616986	0	0.5419799999999999	4.428302552437501	
117912.02496508764	0	0.5535	4.169662067409375	
117751.73547849686	0	0.5461199999999999	3.6541491081374993	
117591.492113122	0	0.54684	2.865078518149375	
117431.29485569218	0	0.5618700000000001	1.965265520879375	
117271.14369294069	0	0.59796	0.8474031958443751	
117111.03861160458	0	0.6749999999999999	0.027431789560000003	
116950.97959842415	0	0.7043400000000002	0	
116790.96664014387	0	0.71757	0	
116630.99972351197	0	0.59877	0	
116471.0161411967	0.06269408413454608	0.59184	0	
116311.12197072695	0.0193154349966365	0.57726	0	
116151.27285201367	0.020271147502198307	0.55017	0	
116151.27285201367	0.020271147502198307	0.53001	0	
